name,avgscore
brian mulroney,64.0
brian percival,53.0
brian robbins,36.875
brian sloan,53.0
brian taylor,39.75
brian trenchard-smith,32.0
brigitte berman,55.0
brillante mendoza,76.0
britt allcroft,19.0
bronwen hughes,54.0
brooke goldfinch,34.0
brooks branch,35.0
bruce a. evans,45.0
bruce beresford,48.285714285714285
bruce campbell,36.0
bruce hendricks,52.0
bruce hunt,30.0
bruce la bruce,46.5
bruce leddy,39.0
bruce malmuth,56.0
bruce mcculloch,37.666666666666664
bruce mcdonald,54.0
bruce paltrow,40.0
bruce robinson,56.0
bruce sinofsky,83.66666666666667
bruce thierry cheung,34.0
bruce weber,85.0
bruno barreto,45.0
bruno dumont,65.6
bruno forzani,56.0
bruno podalydes,66.0
bryan barber,55.0
bryan goluboff,36.0
bryan johnson,5.0
bryan poyser,72.0
bryan singer,63.714285714285715
bryan woods,27.0
buck henry,72.0
bud yorkin,35.0
buddy giovinazzo,36.0
buddy van horn,48.5
burr steers,52.333333333333336
burt reynolds,49.5
busby berkeley,77.0
byambasuren davaa,77.0
byron howard,69.0
c. jay cox,45.0
c.b. harding,43.5
cal brunker,35.0
calin peter netzer,77.0
callie khouri,44.5
calvin reeder,39.0
cam archer,51.0
cameron cairnes,63.0
cameron crowe,62.375
camila guzman urzua,66.0
camille delamarre,40.0
camilo vila,31.0
campbell scott,65.33333333333333
candida brady,71.0
cao hamburger,56.5
caradog w. james,52.0
carey scott,20.0
carl bessai,58.0
carl colby,71.0
carl deal,67.5
carl franklin,67.33333333333333
carl prechezer,64.0
carl reiner,46.75
carl rinsch,28.0
carl schenkel,71.0
carla garapedian,55.0
carlo mirabella-davis,65.0
carlos avila,32.0
carlos bolado,80.0
carlos brooks,55.0
carlos cuaron,67.0
carlos diegues,52.0
carlos marques-marcet,75.0
carlos reygadas,70.0
carlos saldanha,52.857142857142854
carlos saura,69.75
carlos sorin,63.0
carmen marron,44.0
carol morley,62.0
carol reed,88.0
caroline bottaro,70.0
caroline link,72.0
caroline suh,69.0
carroll ballard,74.33333333333333
carter smith,46.5
cary bell,85.0
cary joji fukunaga,76.5
casey affleck,48.0
casey la scala,34.0
casper andreas,50.0
cate shortland,74.5
catherine bainbridge,63.0
catherine breillat,61.625
catherine corsini,56.666666666666664
catherine hardwicke,52.6
catherine jelski,43.0
catherine owens,83.0
cathy malkasian,69.0
caveh zahedi,62.0
cecilia miniucchi,62.0
cedric jimenez,67.0
cedric kahn,74.0
cedric klapisch,62.75
celine danhier,70.0
celine sciamma,74.66666666666667
cesar augusto acevedo,74.0
cesar charlone,26.0
cesc gay,59.0
cess silvera,36.0
chad archibald,53.0
chad crawford kinkle,58.0
chad freidrichs,62.0
chad hartigan,71.0
chad n. walker,71.0
chad stahelski,68.0
chad villella,55.0
chaitanya tamhane,83.0
chalerm wongpim,48.0
chan-wook park,65.71428571428571
chang-dong lee,83.33333333333333
chanoch ze'evi,69.0
chapman way,75.0
charles atlas,65.0
charles burnett,94.0
charles burns,69.0
charles chaplin,96.0
charles crichton,80.0
charles dance,61.0
charles de lauzirika,19.0
charles ferguson,88.5
