name,avgscore
alfredo castro,72.0
alfredo rodriguez de villa,65.0
ali leroi,38.0
ali samadi ahadi,67.0
ali selim,75.0
ali wakad,68.0
alice addison,63.0
alice arlen,55.0
alice cook,80.0
alice hoffman ,48.5
alice lowe,69.0
alice munro ,73.5
alice rohrwacher,65.0
alice sebold ,42.0
alice walker ,78.0
alice winocour,78.5
alice winocour ,67.0
alice wu,65.0
alicia erian ,57.0
alicia luna,74.0
aline brosh mckenna,46.125
alison bagnall,68.0
alison balian,33.0
alison deegan,51.0
alison ellwood,59.0
alison hume,70.0
alison klayman,81.0
alison murray,47.0
alison swan,50.0
alison tilson,73.0
alistair legrand,25.0
alistair maclean ,42.0
allan a. goldstein,25.0
allan aaron katz,33.0
allan arkush,70.0
allan carr ,70.0
allan cubitt ,57.0
allan knee ,67.0
allan loeb,48.857142857142854
allan moyle,77.0
allan stratton ,65.0
allen covert,22.5
allen debevoise,54.0
allen ginsberg ,63.0
allen hughes,76.0
allison anders,62.0
allison burnett,39.42857142857143
allison burnett ,55.0
allison jacobs,33.0
allison jimeno ,66.0
allison pearson ,38.0
alma reville ,83.0
alonso mayo,57.0
alonso ruizpalacios,77.0
alonzo brown,37.0
aloy adlawan,71.0
alrick brown,69.0
alun owen ,96.0
alvaro pastor,56.0
alvaro rodriguez,60.0
alvaro rodriguez ,53.0
alvin sargent,66.875
alyson fouse,29.0
amanda brody,43.0
amanda brown,47.0
amanda brown ,59.0
amanda foreman ,62.0
amanda pope,75.0
amanda silver,67.33333333333333
amanda silver ,69.0
amar singh kaleka ,16.0
amat escalante,59.0
ameet mehta,49.0
amelia mora ,52.0
amelie nothomb ,75.0
amelie syberberg ,62.0
ami boghani ,54.0
aminatta forna,59.0
amir amirani,70.0
amir bar-lev,86.0
amir gutfreund ,69.0
amos gitai,57.8
amos kollek,36.0
amos oz ,47.0
amy albany,58.0
amy albany ,58.0
amy andelson,45.0
amy berg,83.0
amy everson,54.0
amy fox,59.0
amy fox ,59.0
amy harris,29.0
amy heckerling,52.75
amy holden jones,50.0
amy jump,67.0
amy jump ,69.0
amy keating rogers,65.0
amy poehler ,94.0
amy rardin,17.0
amy s. weber,54.0
amy schumer,75.0
amy sedaris,57.0
amy sedaris ,57.0
amy seimetz,70.0
amy seplin,77.0
amy sewell,71.0
amy snow,33.0
amy sorlie,23.0
amy tan,84.0
amy tan ,84.0
amy ziering ,75.0
ana cohan ,49.0
ana piterbarg,49.0
anais barbeau-lavalette,47.0
analeine cal y mayor,47.0
analisa labianco,41.0
anand patwardhan,68.0
anatoli nikiforov,86.0
andamion murataj,73.0
anders frithiof august,68.0
anders thomas jensen,61.46153846153846
