name,avgscore
alexander armstrong,72.0
alexander beyer,49.0
alexander brooks,59.0
alexander chaplin,39.0
alexander fehling,62.0
alexander godunov,49.0
alexander goodwin,55.0
alexander gould,90.0
alexander hacke,73.0
alexander held,76.0
alexander huber,71.0
alexander karim,31.0
alexander keyssar,42.0
alexander ludwig,43.666666666666664
alexander mercury,49.0
alexander morton,68.0
alexander poe,37.0
alexander polinsky,56.0
alexander siddig,52.0
alexander skarsgard,59.166666666666664
alexander vreeland,56.0
alexandra aidini,73.0
alexandra aponte,44.0
alexandra borg,39.0
alexandra daddario,41.0
alexandra dahlstrom,73.0
alexandra doke,59.0
alexandra holden,58.0
alexandra lamy,53.0
alexandra lematre,63.0
alexandra lovelace,52.0
alexandra maria lara,70.66666666666667
alexandra meierhans,72.0
alexandra paul,57.0
alexandra roach,52.0
alexandra stewart,86.0
alexandra williams,67.0
alexandre bailly,33.0
alexandre belin,29.0
alexandre borges,57.0
alexandre hamidi,74.0
alexandre landry,70.0
alexandre merineau,80.0
alexandre rignault,90.0
alexandre rodrigues,79.0
alexandre tharaud,94.0
alexandria benoit,66.0
alexandria m. salling,64.0
alexandru papadopol,71.5
alexandru potocean,81.5
alexia landeau,60.0
alexia rasmussen,57.0
alexie gilmore,39.0
alexis bledel,53.75
alexis clagett,39.0
alexis denisof,78.0
alexis dziena,43.5
alexis georgoulis,34.0
alexis kendra,53.0
alexis knapp,27.0
alexis llewellyn,63.0
alexis loret,68.0
alexis maitland,31.0
alexis tipton,54.0
alexis zegerman,84.0
alexz johnson,41.0
alfie allen,50.0
alfie owen,75.0
alfonso allende,54.0
alfonso arau,52.0
alfonso freeman,57.0
alfonso santagata,65.0
alfre woodard,52.63636363636363
alfred abel,98.0
alfred macadam,75.0
alfred molina,53.57142857142857
alfred mrva,66.0
alfred munyua,56.0
alfred robles,56.0
alfreda klebinger,68.0
alfredo alvarez calderon,31.0
alfredo armenteros,47.0
alfredo castro,74.5
alfredo del rio,74.0
alfredo delgado,82.0
algenis perez soto,82.0
ali astin,94.0
ali barkai,78.0
ali fadhil,89.0
ali faulkner,41.0
ali hillis,26.5
ali larter,32.42857142857143
ali macgraw,62.0
ali mohammad dar,58.0
ali mosaffa,85.0
ali nassirian,74.0
ali reza,71.0
ali suliman,74.0
alia bhatt,40.0
alia shawkat,55.714285714285715
alice barrett,29.0
alice braga,50.875
alice cook,80.0
alice cooper,61.0
alice da cunha,54.0
alice de lencquesaing,76.0
alice dylan,42.0
alice englert,59.0
alice evans,35.0
alice eve,40.714285714285715
alice gautier,76.0
alice greczyn,33.0
alice houri,70.0
alice krige,48.333333333333336
alice li,16.0
alice lowe,69.0
alice macdonald,48.0
alice parkinson,42.0
alice taglioni,47.666666666666664
alice teghil,63.0
alice walker,65.0
alicia del lago,67.0
alicia fehrmann,65.0
alicia fulford-wierzbicki,71.0
alicia keys,51.5
alicia silverstone,49.166666666666664
alicia van couvering,74.5
alicia vikander,62.0
alicia witt,34.8
alicja bachleda,53.5
alida valli,90.0
alima ashton-sheibu,62.0
alina berzunteanu,86.0
alina golovlyova,32.0
alina phelan,29.0
aline griffith,67.0
aline kominsky,93.0
aline kuppenheim,76.0
alison bagnall,59.0
alison barry,65.0
alison bartlett,64.0
alison brie,59.4
alison bruce,56.0
alison crosbie,84.0
alison doody,65.0
alison elliott,69.0
alison faulk,60.0
alison folland,41.0
alison garland,72.0
alison lohman,63.2
alison pill,59.166666666666664
alison steadman,70.0
alison whelan,97.0
alistair abrahams,62.0
alistair browning,71.0
alistair mcgowan,34.0
alix korey,47.0
alix luka-cain,62.0
aliya,74.0
aliza rosen,76.5
alize,87.0
alla faerovich,74.0
allah-morad rashtian,79.0
allan corduner,68.0
allan de waal,66.0
allan gildea,90.0
allan gurganus,79.0
allan kournikova,51.0
allegra antinori,67.0
allen covert,32.0
allen danziger,75.0
allen evangelista,47.0
allen fiuzat,35.0
allen garfield,60.0
allen ginsberg,57.0
allen joseph,87.0
allen leech,66.0
allen payne,44.5
allen soule,75.0
allen wagner,72.0
allie macdonald,36.0
allie mickelson,88.0
allison bills,52.0
allison burnett,51.0
allison dunbar,36.0
allison janney,49.416666666666664
allison lane,50.0
allison miller,31.0
allison nega,46.0
allison tolman,77.0
ally sheedy,49.25
ally walker,40.333333333333336
alma zack,82.0
almendra andrade,63.0
alo korve,59.0
alon friedman,61.0
alon pdut,69.0
alona pulde,57.0
alonzo brown,80.0
alphonso mcauley,33.0
alta,80.0
althea vega,65.0
altinay ghelich taghani,65.0
alva rogers,81.0
alvaro guerrero,83.0
alvaro guevara,81.0
alvaro orlando,53.0
alvin henry,60.0
aly michalka,44.5
alyce barnhardt,100.0
alyce latourelle,24.0
alycia delmore,74.0
alyse barker,80.0
alysia reiner,70.0
alyson hannigan,40.8
alyson stoner,45.0
alyssa jewell,75.0
alyssa milano,55.0
amanda alvarez,55.0
amanda bauer,67.0
amanda brooks,34.5
amanda bynes,53.333333333333336
amanda crew,39.666666666666664
amanda davin,65.0
amanda detmer,36.0
amanda donohoe,89.0
amanda fuller,49.0
amanda kearsan,73.0
amanda milius,59.0
amanda peet,41.0
amanda peterson,36.0
amanda plummer,63.75
amanda redman,79.0
amanda righetti,34.0
amanda sandrelli,56.0
amanda schull,52.0
amanda seyfried,45.69230769230769
amanda wyss,78.0
amandla stenberg,45.0
amaneh ekhtiar-dini,78.0
amar ramasar,74.0
amara karan,67.0
amara miller,84.0
amara zaragoza,57.0
amaranta abril,81.0
amari avery,51.0
amari cheatom,62.0
amaury nolasco,50.0
amber anderson,54.0
amber armstrong,68.0
amber benson,29.5
amber heard,40.18181818181818
amber kuo,40.0
amber tamblyn,59.333333333333336
amber valletta,40.0
amber wolfe wollam,55.0
ambrosia kelley,83.0
ambyr childers,44.0
amee hinkley,77.0
ameena matthews,86.0
amelia campbell,58.0
amelia talbot,26.0
ameneh passand,84.0
amer daher,74.0
america ferrera,59.42857142857143
america olivo,33.0
americo mota,78.0
amerie,31.0
amgaabazar gonson,81.0
ami ayalon,91.0
amidou,68.0
amie carey,62.0
amin maher,86.0
amina,59.0
amina annabi,67.0
amir aboulela,40.0
amir arison,17.0
amir bar-lev,74.0
amir hasan,92.0
amir talai,47.0
amira casar,57.25
amira ghazalla,71.0
amiri baraka,63.0
amit sadh,40.0
amitabh bachchan,48.75
aml ameen,57.0
amnon fisher,45.0
amos poe,70.0
amparo noguera,72.0
amr waked,65.0
amrish puri,57.0
amruta subhash,36.0
